time,showId,movieId,date,theaterId
12:00p,499297969,239402,2025-05-16,AANHA
12:50p,497144806,239402,2025-05-16,AANHA
2:45p,499297968,239402,2025-05-16,AANHA
3:30p,497144805,239402,2025-05-16,AANHA
5:30p,499297967,239402,2025-05-16,AANHA
6:15p,497144804,239402,2025-05-16,AANHA
8:15p,499297966,239402,2025-05-16,AANHA
9:00p,497144803,239402,2025-05-16,AANHA
1:40p,497176729,239402,2025-05-16,AANHA
4:20p,497176728,239402,2025-05-16,AANHA
7:00p,497176726,239402,2025-05-16,AANHA
9:45p,497176727,239402,2025-05-16,AANHA
1:55p,496902935,240028,2025-05-16,AANHA
4:35p,496902934,240028,2025-05-16,AANHA
7:10p,496902932,240028,2025-05-16,AANHA
9:45p,496902933,240028,2025-05-16,AANHA
7:20p,499297984,239490,2025-05-16,AANHA
9:45p,499297985,239490,2025-05-16,AANHA
2:40p,499297992,240014,2025-05-16,AANHA
5:05p,499297991,240014,2025-05-16,AANHA
7:35p,499297990,240014,2025-05-16,AANHA
10:00p,499297994,240014,2025-05-16,AANHA
11:50a,499297983,239338,2025-05-16,AANHA
2:20p,499297982,239338,2025-05-16,AANHA
4:50p,499297981,239338,2025-05-16,AANHA
1:55p,499297964,239964,2025-05-16,AANHA
4:40p,499297963,239964,2025-05-16,AANHA
7:15p,499297962,239964,2025-05-16,AANHA
9:50p,499297961,239964,2025-05-16,AANHA
1:10p,494466720,237177,2025-05-16,AANHA
4:10p,494466721,237177,2025-05-16,AANHA
6:05p,499297971,237177,2025-05-16,AANHA
7:10p,494466722,237177,2025-05-16,AANHA
9:00p,499297970,237177,2025-05-16,AANHA
10:00p,499297965,237177,2025-05-16,AANHA
1:00p,499297978,239552,2025-05-16,AANHA
3:55p,499297977,239552,2025-05-16,AANHA
6:50p,499297980,239552,2025-05-16,AANHA
9:40p,499297979,239552,2025-05-16,AANHA
12:30p,498268288,237956,2025-05-16,AANHA
2:35p,499297975,237956,2025-05-16,AANHA
3:35p,498268289,237956,2025-05-16,AANHA
5:45p,499297974,237956,2025-05-16,AANHA
6:45p,498268290,237956,2025-05-16,AANHA
